Parroquia,Casos_10_04_2020,Casos_11_04_2020,Casos_12_04_2020,Casos_13_04_2020,Casos_14_04_2020,Casos_15_04_2020,Casos_16_04_2020,Casos_17_04_2020,Casos_18_04_2020,Casos_19_04_2020,Casos_20_04_2020,Casos_21_04_2020,Casos_22_04_2020,Casos_23_04_2020,Casos_29_04_2020,Casos_30_04_2020,Casos_01_05_2020,Casos_02_05_2020,Casos_03_05_2020,Casos_04_05_2020,Casos_06_05_2020,Casos_07_05_2020,Casos_08_05_2020,Casos_09_05_2020,Casos_12_05_2020,Casos_13_05_2020,Casos_15_05_2020,Casos_16_05_2020,Casos_17_05_2020,Casos_18_05_2020,Casos_19_05_2020,Casos_23_05_2020,Casos_24_05_2020,Casos_25_05_2020,Casos_26_05_2020,Casos_27_05_2020,Casos_28_05_2020,Casos_31_05_2020,Casos_01_06_2020,Casos_02_06_2020,Casos_03_06_2020,Casos_05_06_2020,Casos_06_06_2020,Casos_07_06_2020,Casos_08_06_2020,Casos_10_06_2020,Casos_11_06_2020,Casos_12_06_2020,Casos_13_06_2020,Casos_14_06_2020,Casos_15_06_2020,Casos_16_06_2020,Casos_17_06_2020,Casos_18_06_2020,Casos_19_06_2020,Casos_20_06_2020,Casos_21_06_2020,Casos_22_06_2020,Casos_23_06_2020,Casos_24_06_2020,Casos_26_06_2020,Casos_27_06_2020,Casos_28_06_2020,Casos_29_06_2020,Casos_30_06_2020,Casos_01_07_2020,Casos_02_07_2020,Casos_05_07_2020,Casos_07_07_2020,Casos_09_07_2020,Casos_10_07_2020
PONCEANO,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,7,8,9,10,10,10,10,10,11,11,9,10,10,10,12,13,13,13,13,14,14,16,17,17,18,18,18,18,19,20
PUEMBO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,7,7,7,7,7,10,10,11,11,11,11,12,15,15,15,15,15,15,15,15,15,15,17,17,17,18,18,18,20,20,20,21,22,22,23,24,23,22,22,22,22,24,24,24,24,24,26,26,29,30,31,32
QUITUMBE,18,19,20,20,21,21,24,28,28,28,28,30,29,29,36,38,39,40,42,42,43,43,44,44,49,49,54,54,58,59,66,73,74,81,85,89,95,98,98,105,111,131,133,136,139,139,143,150,153,156,160,154,158,162,162,173,174,176,180,184,194,199,220,223,225,242,256,275,283,295,312
RUMIPAMBA,3,3,3,3,3,4,4,4,4,4,4,5,5,5,7,7,7,8,8,8,8,7,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,13,13,13,13,13,13,13,13,14,14,17,18,20,22,22,22,21,21,21,21,21,21,23,23,24,1,1,1,1,1,1,1
SAN ANTONIO,1,1,1,1,1,1,2,2,4,4,4,4,4,4,5,5,7,8,10,9,9,9,9,9,12,12,14,14,14,14,14,17,17,18,18,18,19,19,23,23,20,21,21,22,19,20,20,27,27,27,28,27,27,27,28,29,28,28,29,30,33,33,33,34,36,39,41,43,45,48,52
SAN BARTOLO,9,9,9,9,9,11,13,13,15,17,18,19,19,19,21,21,23,24,24,25,28,28,29,29,34,34,38,38,39,45,49,55,56,55,59,61,62,63,63,68,64,68,67,68,72,76,77,77,79,80,81,82,82,83,87,95,97,101,102,104,113,114,115,115,116,136,147,159,163,170,176
SAN ISIDRO DEL INCA,10,11,14,14,15,16,21,23,24,24,25,26,27,27,30,30,30,31,32,32,36,36,37,40,40,40,41,43,44,44,52,56,56,56,55,58,59,60,63,57,56,59,59,60,63,65,65,65,65,66,67,68,69,69,74,74,75,76,78,81,83,86,90,90,91,97,99,107,109,114,116
SAN JUAN,2,2,2,2,2,2,3,3,3,4,4,4,6,7,17,17,18,21,21,25,24,24,25,25,34,34,35,35,35,37,37,46,47,50,52,54,57,57,60,68,65,71,79,81,88,86,87,99,101,102,103,98,101,108,108,112,114,117,120,124,129,129,129,130,131,144,147,153,156,166,169
SOLANDA,7,7,7,9,10,10,11,13,13,16,16,18,19,19,25,25,25,29,31,30,32,32,33,34,40,40,43,43,43,43,51,64,64,66,66,73,73,73,70,68,64,71,72,76,80,87,87,91,96,97,99,96,102,105,107,117,116,120,126,130,143,143,153,159,168,186,194,212,218,227,229
TABABELA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,15,15,15,15,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,18
TUMBACO,7,7,7,7,7,7,17,18,18,18,18,18,20,23,30,31,33,34,37,38,41,42,42,43,43,43,47,47,48,50,50,58,60,62,62,63,64,64,66,69,68,69,69,71,74,74,74,72,72,72,72,79,80,80,81,77,77,78,85,86,81,81,82,82,82,95,99,106,107,113,117
TURUBAMBA,8,8,8,8,8,8,8,9,9,9,9,9,9,9,17,17,17,18,18,19,19,19,20,20,24,24,25,25,26,30,31,39,39,40,43,45,47,47,48,48,52,55,56,59,59,59,61,60,61,61,62,67,67,68,68,72,70,70,71,76,78,80,82,83,85,91,93,96,99,103,104
YARUQUI,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,7,8,11,11,11,11,12,12,13,13,14,14,15,15,15,25,25,27,27,28,28,28,30,29,31,32,32,32,30,31,31,31,31,31,31,32,32,34,34,30,30,32,34,36,35,36,36,36,36,42,42,44,46,46,46
ZAMBIZA,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,11,11,13,14,15,16
PUENGASI,7,8,10,10,10,10,10,10,10,10,10,10,10,14,15,16,16,16,16,17,22,22,19,20,25,25,26,26,26,26,28,32,32,33,34,35,37,37,40,43,45,46,51,54,60,60,63,77,78,79,81,81,81,82,84,90,93,93,99,99,114,116,115,116,119,127,135,156,159,174,181
CENTRO HISTORICO,12,13,16,19,21,25,26,27,27,28,29,31,39,48,71,80,89,91,99,101,120,132,131,140,163,164,167,169,171,180,186,204,206,215,225,229,231,231,242,239,252,259,263,263,269,279,280,291,294,295,305,312,315,317,318,324,333,338,345,349,354,354,363,365,369,398,419,443,445,465,470
GUAMANI,21,23,24,25,27,28,29,29,30,33,35,36,37,43,60,63,64,68,70,72,82,85,85,85,102,103,110,111,119,127,145,191,195,202,209,221,227,239,237,253,255,270,273,288,294,320,324,311,323,330,335,353,354,359,368,380,399,411,416,429,452,462,465,469,474,521,535,588,599,614,632
CARCELEN,15,16,16,16,16,16,16,16,16,17,17,17,17,17,24,24,25,27,28,32,31,34,34,34,35,35,36,36,37,36,42,42,42,42,41,42,42,42,42,39,42,42,42,45,47,49,49,53,54,56,57,57,58,59,59,58,57,58,61,62,63,63,68,69,72,77,83,98,105,109,116
LA CONCEPCION,14,14,13,13,11,11,13,13,13,13,13,13,15,16,19,19,21,21,21,22,21,21,22,24,25,25,27,27,27,27,27,31,31,31,31,31,32,33,33,33,32,32,34,35,35,36,37,40,40,41,42,43,44,43,44,46,47,49,47,48,48,47,48,48,49,52,53,54,56,59,61
COMITE DEL PUEBLO,7,7,7,7,7,7,7,7,7,7,7,7,7,9,14,16,18,19,22,21,21,22,25,27,35,35,36,40,40,42,42,46,47,52,55,58,58,58,60,57,58,60,62,63,64,72,71,73,73,75,76,84,84,86,91,87,88,90,91,95,106,107,113,114,117,122,127,147,150,158,160
COTOGCHOA,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,6,7,7,8,8,8,8,8,8,9
INDETERMINADO,,,24,18,16,16,25,26,26,26,29,29,18,14,14,,1,13,5,4,4,1,1,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
PACTO,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
